"","Player","...1","Tm.x","season17_18","Rk","Player.x","Pos","Age","Tm.y","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT.x","FTA","FT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","GS.y","MP.y","FG.y","FGA.y","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT.y","FTA.y","FT%","ORB.y","DRB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS.y"
"30","Beno Udrih","571","DET",25000,438,"Beno Udrih\udrihbe01","PG",34,"DET",39,0,14.4,2.4,5.1,0.467,0.3,0.8,0.344,2.1,4.2,0.491,0.495,0.8,0.9,0.941,0.2,1.3,1.5,3.4,0.3,0,0.9,0.7,5.8,"PG",34,"DET",39,0,"44665","44653","44566",".467","0.3","0.8",".344","44563","44596",".491",".495","0.8","0.9",".941","0.2","44621","44682","44654","0.3","0.0","0.9","0.7","44778"
"31","Bismack Biyombo","60","ORL",1.7e+07,46,"Bismack Biyombo\biyombi01","C",24,"ORL",81,27,22.1,2.2,4.2,0.528,0,0,NA,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7,0.9,0.3,1.1,1.2,2.5,6,"C",24,"ORL",81,27,"44583","44594","44596",".528","0.0","0.0",NA,"44594","44596",".528",".528","44682","44806",".534","44805","44566","7.0","0.9","0.3","44562","44593","44683","6.0"
"32","Blake Griffin","5","DET",29512900,169,"Blake Griffin\griffbl01","PF",27,"LAC",61,61,34,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,"PF",27,"LAC",61,61,"34.0","44811","44819",".493","0.6","44805",".336","44599","44575",".514",".513","44597","44810",".760","44774","44626","44569","44808","0.9","0.4","44622","44714","44733"
"33","Bobby Brown","375","HOU",1524305,60,"Bobby Brown\brownbo02","PG",32,"HOU",25,0,4.9,0.9,2.4,0.383,0.6,1.4,0.4,0.4,1,0.36,0.5,0.1,0.1,1,0,0.2,0.2,0.6,0,0,0.2,0.2,2.5,"PG",32,"HOU",25,0,"44808","0.9","44653",".383","0.6","44652",".400","0.4","1.0",".360",".500","0.1","0.1","1000","0.0","0.2","0.2","0.6","0.0","0.0","0.2","0.2","44683"
"34","Bobby Portis","376","CHI",1516320,362,"Bobby Portis\portibo01","PF",21,"CHI",64,13,15.6,2.9,5.9,0.488,0.5,1.5,0.333,2.4,4.4,0.541,0.531,0.6,0.9,0.661,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,"PF",21,"CHI",64,13,"44727","44806","44809",".488","0.5","44682",".333","44653","44655",".541",".531","0.6","0.9",".661","44593","44684","44716","0.5","0.3","0.2","0.6","44682","44779"
"35","Bradley Beal","20","WAS",23775506,36,"Bradley Beal\bealbr01","SG",23,"WAS",77,77,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2,2.2,23.1,"SG",23,"WAS",77,77,"34.9","44628","44609",".482","44806","44599",".404","44656","10.0",".538",".566","44745","44655",".825","0.7","44653","44564","44684","44562","0.3","2.0","44594","44584"
"36","Brandan Wright","198","MEM",5179760,476,"Brandan Wright\wrighbr03","PF",29,"MEM",28,5,16,3,4.8,0.615,0,0,0,3,4.8,0.619,0.615,0.8,1.3,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,"PF",29,"MEM",28,5,"16.0","3.0","44777",".615","0.0","0.0",".000","3.0","44777",".619",".615","0.8","44621",".657","44562","44743","44775","0.5","0.4","0.7","0.4","44682","44779"
"37","Brandon Ingram","188","LAL",5519400,215,"Brandon Ingram\ingrabr01","SF",19,"LAL",79,40,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.443,0.442,1.7,2.7,0.621,0.8,3.2,4,2.1,0.6,0.5,1.5,2,9.4,"SF",19,"LAL",79,40,"44801","44684","44750",".402","0.7","44653",".294","44775","44626",".443",".442","44743","44744",".621","0.8","44595","4.0","44563","0.6","0.5","44682","2.0","44660"
"38","Brandon Jennings","511","MIL",119010,225,"Brandon Jennings\jennibr01","PG",27,"TOT",81,13,22.2,2.4,6.6,0.359,1,3.1,0.313,1.4,3.5,0.399,0.433,1.4,1.9,0.75,0.4,2.1,2.4,4.9,0.9,0,1.6,1.4,7.1,"PG",27,"TOT",81,13,"44614","44653","44718",".359","1.0","44564",".313","44652","44684",".399",".433","44652","44805",".750","0.4","44563","44653","44808","0.9","0.0","44713","44652","44568"
"39","Brandon Knight","88","PHO",13618750,247,"Brandon Knight\knighbr03","SG",25,"PHO",54,5,21.1,3.9,9.7,0.398,0.8,2.6,0.324,3,7.1,0.425,0.441,2.4,2.9,0.857,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11,"SG",25,"PHO",54,5,"44582","44807","44751",".398","0.8","44714",".324","3.0","44568",".425",".441","44653","44806",".857","0.5","44743","44594","44653","0.5","0.1","44713","44713","11.0"
"40","Brandon Rush","510","POR",119602,389,"Brandon Rush\rushbr01","SG",31,"MIN",47,33,21.9,1.5,4,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.492,0.3,0.4,0.722,0.3,1.8,2.1,1,0.5,0.5,0.6,0.9,4.2,"SG",31,"MIN",47,33,"44825","44682","4.0",".374","0.9","44653",".386","0.6","44713",".356",".492","0.3","0.4",".722","0.3","44774","44563","1.0","0.5","0.5","0.6","0.9","44596"
"41","Briante Weber","528","MEM",83129,456,"Briante Weber\weberbr01","PG",24,"TOT",20,0,10.3,1.3,3,0.417,0.1,0.5,0.1,1.2,2.5,0.48,0.425,0.6,0.8,0.688,0.4,0.9,1.3,1.1,0.6,0.1,0.4,0.8,3.1,"PG",24,"TOT",20,0,"44630","44621","3.0",".417","0.1","0.5",".100","44593","44683",".480",".425","0.6","0.8",".688","0.4","0.9","44621","44562","0.6","0.1","0.4","0.8","44564"
"42","Briante Weber","551","LAL",50000,456,"Briante Weber\weberbr01","PG",24,"TOT",20,0,10.3,1.3,3,0.417,0.1,0.5,0.1,1.2,2.5,0.48,0.425,0.6,0.8,0.688,0.4,0.9,1.3,1.1,0.6,0.1,0.4,0.8,3.1,"PG",24,"TOT",20,0,"44630","44621","3.0",".417","0.1","0.5",".100","44593","44683",".480",".425","0.6","0.8",".688","0.4","0.9","44621","44562","0.6","0.1","0.4","0.8","44564"
"43","Briante Weber","553","HOU",50000,456,"Briante Weber\weberbr01","PG",24,"TOT",20,0,10.3,1.3,3,0.417,0.1,0.5,0.1,1.2,2.5,0.48,0.425,0.6,0.8,0.688,0.4,0.9,1.3,1.1,0.6,0.1,0.4,0.8,3.1,"PG",24,"TOT",20,0,"44630","44621","3.0",".417","0.1","0.5",".100","44593","44683",".480",".425","0.6","0.8",".688","0.4","0.9","44621","44562","0.6","0.1","0.4","0.8","44564"
"44","Brice Johnson","407","MEM",1331160,228,"Brice Johnson\johnsbr02","PF",22,"LAC",3,0,3,0.7,2.3,0.286,0,0,NA,0.7,2.3,0.286,0.286,0,0,NA,0.3,0.7,1,0.3,0.7,0.3,0.3,0,1.3,"PF",22,"LAC",3,0,"3.0","0.7","44622",".286","0.0","0.0",NA,"0.7","44622",".286",".286","0.0","0.0",NA,"0.3","0.7","1.0","0.3","0.7","0.3","0.3","0.0","44621"
"45","Brook Lopez","30","LAL",22642350,271,"Brook Lopez\lopezbr01","C",28,"BRK",75,75,29.6,7.4,15.6,0.474,1.8,5.2,0.346,5.6,10.5,0.536,0.531,3.9,4.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,"C",28,"BRK",75,75,"44741","44658","44727",".474","44774","44597",".346","44717","44691",".536",".531","44807","44808",".810","44713","44776","44656","44622","0.5","44743","44683","44714","44701"
"46","Bruno Caboclo","282","SAC",2451225,67,"Bruno Caboclo\cabocbr01","SF",21,"TOR",9,0,4.4,0.7,1.8,0.375,0.2,0.7,0.333,0.4,1.1,0.4,0.438,0,0,NA,0.6,0.6,1.1,0.4,0.2,0.1,0.2,0.4,1.6,"SF",21,"TOR",9,0,"44655","0.7","44774",".375","0.2","0.7",".333","0.4","44562",".400",".438","0.0","0.0",NA,"0.6","0.6","44562","0.4","0.2","0.1","0.2","0.4","44713"
"47","Bryn Forbes","419","SAS",1312611,137,"Bryn Forbes\forbebr01","SG",23,"SAS",36,0,7.9,1,2.8,0.364,0.5,1.5,0.321,0.5,1.3,0.413,0.449,0.1,0.2,0.833,0.1,0.6,0.6,0.6,0,0,0.3,0.6,2.6,"SG",23,"SAS",36,0,"44811","1.0","44775",".364","0.5","44682",".321","0.5","44621",".413",".449","0.1","0.2",".833","0.1","0.6","0.6","0.6","0.0","0.0","0.3","0.6","44714"
"48","Buddy Hield","234","SAC",3675480,193,"Buddy Hield\hieldbu01","SG",24,"TOT",82,55,23,4,9.4,0.426,1.8,4.6,0.391,2.2,4.7,0.461,0.523,0.8,0.9,0.842,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,"SG",24,"TOT",82,55,"23.0","4.0","44660",".426","44774","44716",".391","44594","44746",".461",".523","0.8","0.9",".842","0.4","44806","44623","44682","0.5","0.1","44593","44652","44722"
