"","Player","...1","Tm.x","season17_18","Rk","Player.x","Pos","Age","Tm.y","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT.x","FTA","FT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","GS.y","MP.y","FG.y","FGA.y","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT.y","FTA.y","FT%","ORB.y","DRB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS.y"
"107","Dorian Finney-Smith","428","DAL",1312611,136,"Dorian Finney-Smith\finnedo01","PF",23,"DAL",81,35,20.3,1.5,4.1,0.372,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,"PF",23,"DAL",81,35,"44640","44682","44565",".372","0.7","44653",".293","0.8","44774",".479",".456","0.6","0.8",".754","0.7","44563","44744","0.8","0.6","0.3","0.6","44682","44624"
"108","Doug McDermott","245","DAL",3294994,292,"Doug McDermott\mcderdo01","SF",25,"TOT",66,5,22.8,3.4,7.5,0.447,1.2,3.2,0.37,2.2,4.4,0.502,0.524,1.1,1.3,0.845,0.3,2.4,2.7,0.9,0.2,0.1,0.6,1.2,9,"SF",25,"TOT",66,5,"44795","44654","44688",".447","44593","44595",".370","44594","44655",".502",".524","44562","44621",".845","0.3","44653","44744","0.9","0.2","0.1","0.6","44593","9.0"
"109","Dragan Bender","214","PHO",4468800,41,"Dragan Bender\bendedr01","PF",19,"PHO",43,0,13.3,1.3,3.7,0.354,0.7,2.3,0.277,0.7,1.4,0.483,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,"PF",19,"PHO",43,0,"44633","44621","44745",".354","0.7","44622",".277","0.7","44652",".483",".441","0.1","0.3",".364","0.5","44805","44653","0.5","0.2","0.5","0.7","44743","44654"
"110","Draymond Green","65","GSW",16400000,165,"Draymond Green\greendr01","PF",26,"GSW",76,76,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.481,2,2.8,0.709,1.3,6.6,7.9,7,2,1.4,2.4,2.9,10.2,"PF",26,"GSW",76,76,"32.5","44715","44720",".418","44562","44684",".308","44683","44566",".494",".481","2.0","44775",".709","44621","44718","44811","7.0","2.0","44652","44653","44806","44602"
"111","Dwight Howard","24","CHO",23500000,206,"Dwight Howard\howardw01","C",31,"ATL",74,74,29.7,5.2,8.3,0.633,0,0,0,5.2,8.3,0.635,0.633,3.1,5.7,0.533,4,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,"C",31,"ATL",74,74,"44771","44597","44628",".633","0.0","0.0",".000","44597","44628",".635",".633","44564","44747",".533","4.0","44750","44754","44652","0.9","44593","44622","44744","44694"
"112","Dwight Powell","134","DAL",9003125,364,"Dwight Powell\poweldw01","C",25,"DAL",77,3,17.3,2.5,4.9,0.515,0.3,1,0.284,2.2,3.9,0.571,0.542,1.4,1.8,0.759,1.2,2.8,4,0.6,0.8,0.5,0.4,1.8,6.7,"C",25,"DAL",77,3,"44637","44683","44808",".515","0.3","1.0",".284","44594","44807",".571",".542","44652","44774",".759","44593","44775","4.0","0.6","0.8","0.5","0.4","44774","44748"
"113","Dwyane Wade","70","CHI",15550000,450,"Dwyane Wade\wadedw01","SG",35,"CHI",60,59,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,"SG",35,"CHI",60,59,"44833","44810","44819",".434","0.8","44653",".310","44598","44694",".456",".457","44745","44746",".794","44562","44684","44685","44776","44652","0.7","44622","44805","44638"
"114","Dwyane Wade","298","MIA",2328652,450,"Dwyane Wade\wadedw01","SG",35,"CHI",60,59,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,"SG",35,"CHI",60,59,"44833","44810","44819",".434","0.8","44653",".310","44598","44694",".456",".457","44745","44746",".794","44562","44684","44685","44776","44652","0.7","44622","44805","44638"
"115","E'Twaun Moore","138","NOP",8445024,309,"Ewaun Moore\mooreet01","SG",27,"NOP",73,22,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,1,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,"SG",27,"NOP",73,22,"44828","44807","44689",".457","44562","44775",".370","44775","44717",".501",".519","0.8","1.0",".770","0.5","44713","44563","44594","0.7","0.4","0.8","44774","44721"
"116","Ed Davis","166","POR",6352531,102,"Ed Davis\davised01","PF",27,"POR",46,12,17.2,1.6,3.1,0.528,0,0,NA,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3,4.3,"PF",27,"POR",46,12,"44609","44713","44564",".528","0.0","0.0",NA,"44713","44564",".528",".528","44562","44774",".617","44563","44595","44625","0.6","0.3","0.5","0.8","3.0","44624"
"117","Elfrid Payton","243","PHO",3332340,354,"Elfrid Payton\paytoel01","PG",22,"ORL",82,58,29.4,5.2,11.1,0.471,0.5,1.8,0.274,4.8,9.3,0.509,0.493,1.8,2.6,0.692,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,"PG",22,"ORL",82,58,"44680","44597","44572",".471","0.5","44774",".274","44777","44629",".509",".493","44774","44714",".692","44562","44715","44746","44687","44562","0.5","44594","44594","44785"
"118","Emmanuel Mudiay","241","NYK",3381480,315,"Emmanuel Mudiay\mudiaem01","PG",20,"DEN",55,41,25.6,3.8,10,0.377,1,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11,"PG",20,"DEN",55,41,"44737","44776","10.0",".377","1.0","44595",".315","44775","44779",".408",".428","44653","3.0",".784","0.5","44744","44595","44807","0.7","0.2","44594","44743","11.0"
"119","Eric Bledsoe","78","MIL",14500000,49,"Eric Bledsoe\bledser01","PG",27,"PHO",66,66,33,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,"PG",27,"PHO",66,66,"33.0","44779","44757",".434","44713","44746",".335","44597","11.0",".477",".485","44809","44810",".847","0.8","44565","44777","44626","44652","0.5","44654","44683","44582"
"120","Eric Gordon","92","HOU",12943020,159,"Eric Gordon\gordoer01","SG",28,"HOU",75,15,31,5.5,13.5,0.406,3.3,8.8,0.372,2.2,4.7,0.468,0.527,2,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2,16.2,"SG",28,"HOU",75,15,"31.0","44686","44694",".406","44623","44781",".372","44594","44746",".468",".527","2.0","44622",".840","0.4","44622","44744","44683","0.6","0.5","44713","2.0","44608"
"121","Evan Fournier","59","ORL",1.7e+07,138,"Evan Fournier\fournev01","SG",24,"ORL",68,66,32.9,6,13.7,0.439,1.9,5.3,0.356,4.1,8.4,0.491,0.508,3.3,4.1,0.805,0.6,2.4,3.1,3,1,0.1,2.1,2.6,17.2,"SG",24,"ORL",68,66,"32.9","6.0","44755",".439","44805","44625",".356","44565","44659",".491",".508","44623","44565",".805","0.6","44653","44564","3.0","1.0","0.1","44563","44714","44609"
"122","Evan Turner","57","POR",17131148,436,"Evan Turner\turneev01","SF",28,"POR",65,12,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.454,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9,"SF",28,"POR",65,12,"44706","44715","44689",".426","0.5","44774",".263","44564","44748",".470",".454","44621","44713",".825","0.6","44595","44776","44595","0.8","0.4","44682","44805","9.0"
"123","Frank Kaminsky","265","CHO",2847600,243,"Frank Kaminsky\kaminfr01","C",23,"CHO",75,16,26.1,4.3,10.7,0.399,1.5,4.7,0.328,2.7,6,0.455,0.471,1.6,2.1,0.756,0.8,3.7,4.5,2.2,0.6,0.5,1,1.9,11.7,"C",23,"CHO",75,16,"44587","44624","44752",".399","44682","44746",".328","44744","6.0",".455",".471","44713","44563",".756","0.8","44745","44685","44594","0.6","0.5","1.0","44805","44753"
"124","Fred VanVleet","440","TOR",1312611,443,"Fred VanVleet\vanvlfr01","PG",22,"TOR",37,0,7.9,1.1,3,0.351,0.3,0.8,0.379,0.8,2.2,0.341,0.401,0.5,0.6,0.818,0.1,1,1.1,0.9,0.4,0.1,0.4,1,2.9,"PG",22,"TOR",37,0,"44811","44562","3.0",".351","0.3","0.8",".379","0.8","44594",".341",".401","0.5","0.6",".818","0.1","1.0","44562","0.9","0.4","0.1","0.4","1.0","44806"
"125","Garrett Temple","142","SAC",8e+06,423,"Garrett Temple\templga01","SG",30,"SAC",65,21,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.476,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,"SG",30,"SAC",65,21,"44738","44775","44718",".424","44621","44654",".373","44713","44623",".476",".519","0.9","44562",".784","0.5","44622","44775","44714","44621","0.4","44593","44594","44780"
"126","Gary Harris","275","DEN",2550055,178,"Gary Harris\harriga01","SG",22,"DEN",57,56,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.558,0.586,1.8,2.4,0.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,"SG",22,"DEN",57,56,"44651","44717","44603",".502","44805","44685",".420","44745","44748",".558",".586","44774","44653",".776","0.8","44622","44564","44806","44593","0.1","44621","44713","44818"
"127","George Hill","41","CLE",2e+07,195,"George Hill\hillge01","PG",30,"UTA",49,49,31.5,5.9,12.4,0.477,1.9,4.8,0.403,4,7.6,0.523,0.554,3.2,4,0.801,0.5,2.9,3.4,4.2,1,0.2,1.7,2.3,16.9,"PG",30,"UTA",49,49,"44712","44809","44663",".477","44805","44777",".403","4.0","44719",".523",".554","44595","4.0",".801","0.5","44806","44654","44596","1.0","0.2","44743","44622","44820"
"128","Georges Niang","515","IND",1e+05,326,"Georges Niang\niangge01","PF",23,"IND",23,0,4,0.4,1.6,0.25,0,0.5,0.083,0.3,1,0.333,0.264,0.1,0.1,1,0.1,0.7,0.7,0.2,0.1,0,0.2,0.3,0.9,"PF",23,"IND",23,0,"4.0","0.4","44713",".250","0.0","0.5",".083","0.3","1.0",".333",".264","0.1","0.1","1000","0.1","0.7","0.7","0.2","0.1","0.0","0.2","0.3","0.9"
"129","Georgios Papagiannis","530","POR",74159,345,"Georgios Papagiannis\papagge01","C",19,"SAC",22,0,16.1,2.5,4.6,0.549,0,0.1,0,2.5,4.5,0.56,0.549,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2,5.6,"C",19,"SAC",22,0,"44577","44683","44716",".549","0.0","0.1",".000","44683","44685",".560",".549","0.5","0.6",".857","44562","44775","44807","0.9","0.1","0.8","44562","2.0","44717"
"130","Georgios Papagiannis","304","SAC",2301360,345,"Georgios Papagiannis\papagge01","C",19,"SAC",22,0,16.1,2.5,4.6,0.549,0,0.1,0,2.5,4.5,0.56,0.549,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2,5.6,"C",19,"SAC",22,0,"44577","44683","44716",".549","0.0","0.1",".000","44683","44685",".560",".549","0.5","0.6",".857","44562","44775","44807","0.9","0.1","0.8","44562","2.0","44717"
"131","Gerald Green","457","HOU",947248,166,"Gerald Green\greenge01","SF",31,"BOS",47,0,11.4,2,4.9,0.409,0.8,2.4,0.351,1.2,2.6,0.463,0.494,0.7,0.9,0.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1,5.6,"SF",31,"BOS",47,0,"44662","2.0","44808",".409","0.8","44653",".351","44593","44714",".463",".494","0.7","0.9",".805","0.3","44652","44774","0.7","0.2","0.1","0.5","1.0","44717"
"132","Gerald Henderson","453","PHI",1e+06,187,"Gerald Henderson\hendege02","SG",29,"PHI",72,41,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.806,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,"SG",29,"PHI",72,41,"44615","44623","44749",".423","0.8","44653",".353","44653","44625",".455",".478","44774","44622",".806","0.5","44563","44714","44713","0.6","0.2","0.9","44774","44601"
"133","Giannis Antetokounmpo","33","MIL",22471910,16,"Giannis Antetokounmpo\antetgi01","SF",22,"MIL",80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,"SF",22,"MIL",80,80,"35.6","44600","44757",".521","0.6","44622",".272","44719","44694",".563",".541","44809","44749",".770","44774","7.0","44781","44656","44713","44805","44806","44564","44826"
"134","Gordon Hayward","4","BOS",29727900,186,"Gordon Hayward\haywago01","SF",26,"UTA",73,73,34.5,7.5,15.8,0.471,2,5.1,0.398,5.4,10.7,0.506,0.536,5,5.9,0.844,0.7,4.7,5.4,3.5,1,0.3,1.9,1.6,21.9,"SF",26,"UTA",73,73,"34.5","44688","44788",".471","2.0","44566",".398","44656","44752",".506",".536","5.0","44809",".844","0.7","44746","44656","44684","1.0","0.3","44805","44713","44825"
"135","Gorgui Dieng","81","MIN",14112360,111,"Gorgui Dieng\dienggo01","PF",27,"MIN",82,82,32.4,4,8.1,0.502,0.2,0.5,0.372,3.9,7.5,0.511,0.514,1.7,2,0.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10,"PF",27,"MIN",82,82,"32.4","4.0","44569",".502","0.2","0.5",".372","44807","44688",".511",".514","44743","2.0",".814","44622","44717","44811","44805","44562","44593","44621","44564","10.0"
"136","Greg Monroe","202","BOS",5e+06,308,"Greg Monroe\monrogr01","C",26,"MIL",81,0,22.5,4.8,9,0.533,0,0,0,4.8,8.9,0.536,0.533,2.2,3,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,"C",26,"MIL",81,0,"44703","44777","9.0",".533","0.0","0.0",".000","44777","44812",".536",".533","44594","3.0",".741","44563","44685","44718","44622","44562","0.5","44743","44563","44753"
"137","Greg Monroe","51","PHO",17884176,308,"Greg Monroe\monrogr01","C",26,"MIL",81,0,22.5,4.8,9,0.533,0,0,0,4.8,8.9,0.536,0.533,2.2,3,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,"C",26,"MIL",81,0,"44703","44777","9.0",".533","0.0","0.0",".000","44777","44812",".536",".533","44594","3.0",".741","44563","44685","44718","44622","44562","0.5","44743","44563","44753"
"138","Harrison Barnes","26","DAL",23112004,28,"Harrison Barnes\barneha02","PF",24,"DAL",79,79,35.5,7.6,16.2,0.468,1,2.8,0.351,6.6,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5,1.5,0.8,0.2,1.3,1.6,19.2,"PF",24,"DAL",79,79,"35.5","44719","44608",".468","1.0","44775",".351","44718","44664",".492",".498","44564","44715",".861","44593","44776","5.0","44682","0.8","0.2","44621","44713","44611"
"139","Hassan Whiteside","23","MIA",23775506,461,"Hassan Whiteside\whiteha01","C",27,"MIA",77,77,32.6,7,12.6,0.557,0,0,NA,7,12.6,0.557,0.557,2.9,4.6,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2,2.9,17,"C",27,"MIA",77,77,"32.6","7.0","44724",".557","0.0","0.0",NA,"7.0","44724",".557",".557","44806","44716",".628","44776","44630","44575","0.7","0.7","44563","2.0","44806","17.0"
"140","Henry Ellenson","344","DET",1780800,121,"Henry Ellenson\ellenhe01","PF",20,"DET",19,2,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.7,1.5,0.448,0.438,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,"PF",20,"DET",19,2,"44749","44593","44654",".359","0.5","44774",".286","0.7","44682",".448",".438","0.2","0.4",".500","0.4","44743","44594","0.4","0.1","0.1","0.7","0.3","44595"
"141","Ian Clark","360","NOP",1577230,82,"Ian Clark\clarkia01","SG",25,"GSW",77,0,14.8,2.7,5.6,0.487,0.8,2.1,0.374,1.9,3.5,0.556,0.558,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1,6.8,"SG",25,"GSW",77,0,"44787","44744","44717",".487","0.8","44563",".374","44805","44684",".556",".558","0.6","0.8",".759","0.3","44621","44713","44593","0.5","0.1","0.7","1.0","44779"
"142","Ian Mahinmi","63","WAS",16661641,280,"Ian Mahinmi\mahinia01","C",30,"WAS",31,0,17.9,2.1,3.6,0.586,0,0,NA,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,"C",30,"WAS",31,0,"44821","44563","44715",".586","0.0","0.0",NA,"44563","44715",".586",".586","44652","44653",".573","44682","44623","44777","0.6","44562","0.8","44562","44806","44717"
"143","Iman Shumpert","121","SAC",10337079,402,"Iman Shumpert\shumpim01","SG",26,"CLE",76,31,25.5,2.6,6.4,0.411,1.2,3.4,0.36,1.4,3,0.469,0.507,0.9,1.2,0.789,0.5,2.4,2.9,1.4,0.8,0.4,1,2,7.5,"SG",26,"CLE",76,31,"44706","44714","44657",".411","44593","44654",".360","44652","3.0",".469",".507","0.9","44593",".789","0.5","44653","44806","44652","0.8","0.4","1.0","2.0","44688"
"144","Isaiah Canaan","502","CHI",2e+05,70,"Isaiah Canaan\canaais01","SG",25,"CHI",39,0,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1,2,0.481,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.6,"SG",25,"CHI",39,0,"44607","44713","44655",".364","0.6","44653",".266","1.0","2.0",".481",".436","0.8","0.8",".909","0.2","44562","44621","0.9","0.6","0.0","0.5","0.9","44716"
"145","Isaiah Canaan","533","HOU",53465,70,"Isaiah Canaan\canaais01","SG",25,"CHI",39,0,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1,2,0.481,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.6,"SG",25,"CHI",39,0,"44607","44713","44655",".364","0.6","44653",".266","1.0","2.0",".481",".436","0.8","0.8",".909","0.2","44562","44621","0.9","0.6","0.0","0.5","0.9","44716"
"146","Isaiah Canaan","449","PHO",1069308,70,"Isaiah Canaan\canaais01","SG",25,"CHI",39,0,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1,2,0.481,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.6,"SG",25,"CHI",39,0,"44607","44713","44655",".364","0.6","44653",".266","1.0","2.0",".481",".436","0.8","0.8",".909","0.2","44562","44621","0.9","0.6","0.0","0.5","0.9","44716"
"147","Isaiah Taylor","438","ATL",1312611,420,"Isaiah Taylor\taylois01","PG",22,"HOU",4,0,13,0.3,1.8,0.143,0,0.5,0,0.3,1.3,0.2,0.143,0.3,0.5,0.5,0.3,0.5,0.8,0.8,0.3,0.3,0,1.5,0.8,"PG",22,"HOU",4,0,"13.0","0.3","44774",".143","0.0","0.5",".000","0.3","44621",".200",".143","0.3","0.5",".500","0.3","0.5","0.8","0.8","0.3","0.3","0.0","44682","0.8"
"148","Isaiah Thomas","171","LAL",6261395,425,"Isaiah Thomas\thomais02","PG",27,"BOS",76,76,33.8,9,19.4,0.463,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,"PG",27,"BOS",76,76,"33.8","9.0","44670",".463","44595","44689",".379","44778","44814",".528",".546","44780","44689",".909","0.6","44563","44744","44809","0.9","0.2","44775","44594","44832"
"149","Isaiah Whitehead","433","BRK",1312611,460,"Isaiah Whitehead\whiteis01","PG",21,"BRK",73,26,22.5,2.8,7,0.402,0.6,2,0.295,2.2,4.9,0.446,0.445,1.2,1.5,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4,"PG",21,"BRK",73,26,"44703","44775","7.0",".402","0.6","2.0",".295","44594","44808",".446",".445","44593","44682",".805","0.4","44563","44683","44714","0.6","0.5","44805","44653","44658"
"150","Ish Smith","177","DET",6e+06,407,"Ish Smith\smithis01","PG",28,"DET",81,32,24.1,4.1,9.2,0.439,0.3,1.3,0.267,3.7,8,0.467,0.458,0.9,1.3,0.706,0.3,2.6,2.9,5.2,0.8,0.4,1.4,1.6,9.4,"PG",28,"DET",81,32,"44585","44565","44601",".439","0.3","44621",".267","44745","8.0",".467",".458","0.9","44621",".706","0.3","44714","44806","44597","0.8","0.4","44652","44713","44660"
"151","Ivica Zubac","426","LAL",1312611,486,"Ivica Zubac\zubaciv01","C",19,"LAL",38,11,16,3.3,6.3,0.529,0,0.1,0,3.3,6.2,0.536,0.529,0.8,1.3,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5,"C",19,"LAL",38,11,"16.0","44623","44626",".529","0.0","0.1",".000","44623","44598",".536",".529","0.8","44621",".653","44562","44564","44596","0.8","0.4","0.9","0.8","44743","44688"
"152","J.J. Barea","229","DAL",3903900,27,"J.J. Barea\bareajo01","PG",32,"DAL",35,6,22,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0,1.8,0.9,10.9,"PG",32,"DAL",35,6,"22.0","44565","44782",".414","44682","44596",".358","44683","44717",".456",".491","44621","44682",".863","0.3","44563","44653","44686","0.4","0.0","44774","0.9","44814"
"153","J.J. Redick","27","PHI",2.3e+07,373,"J.J. Redick\redicjj01","SG",32,"LAC",78,78,28.2,5.1,11.4,0.445,2.6,6,0.429,2.5,5.4,0.462,0.558,2.3,2.6,0.891,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,15,"SG",32,"LAC",78,78,"44620","44566","44662",".445","44714","6.0",".429","44683","44656",".462",".558","44622","44714",".891","0.1","44563","44594","44652","0.7","0.2","44621","44713","15.0"
"154","J.R. Smith","87","CLE",13760000,408,"J.R. Smith\smithjr01","SG",31,"CLE",41,35,29,3,8.7,0.346,2.3,6.6,0.351,0.7,2.1,0.329,0.479,0.2,0.4,0.667,0.4,2.3,2.8,1.5,1,0.3,0.6,1.9,8.6,"SG",31,"CLE",41,35,"29.0","3.0","44750",".346","44622","44718",".351","0.7","44563",".329",".479","0.2","0.4",".667","0.4","44622","44775","44682","1.0","0.3","0.6","44805","44720"
"155","Jabari Parker","163","MIL",6782392,346,"Jabari Parker\parkeja01","PF",21,"MIL",51,50,33.9,7.8,16,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1,0.4,1.8,2.2,20.1,"PF",21,"MIL",51,50,"33.9","44780","16.0",".490","44621","44684",".365","44687","44693",".525",".530","44595","44624",".743","44682","44716","44598","44775","1.0","0.4","44774","44594","44581"
"156","Jae Crowder","162","UTA",6796117,95,"Jae Crowder\crowdja01","SF",26,"BOS",72,72,32.4,4.6,10,0.463,2.2,5.5,0.398,2.4,4.5,0.54,0.572,2.4,3,0.811,0.7,5.1,5.8,2.2,1,0.3,1.1,2.2,13.9,"SF",26,"BOS",72,72,"32.4","44716","10.0",".463","44594","44686",".398","44653","44685",".540",".572","44653","3.0",".811","0.7","44566","44778","44594","1.0","0.3","44562","44594","44817"
"157","Jahlil Okafor","204","BRK",4995120,338,"Jahlil Okafor\okafoja01","C",21,"PHI",50,33,22.7,4.8,9.4,0.514,0,0,NA,4.8,9.4,0.514,0.514,2.1,3.2,0.671,1.6,3.2,4.8,1.2,0.4,1,1.8,2.4,11.8,"C",21,"PHI",50,33,"44764","44777","44660",".514","0.0","0.0",NA,"44777","44660",".514",".514","44563","44595",".671","44713","44595","44777","44593","0.4","1.0","44774","44653","44784"
"158","Jake Layman","420","POR",1312611,257,"Jake Layman\laymaja01","SF",22,"POR",35,1,7.1,0.7,2.5,0.292,0.4,1.5,0.255,0.4,1.1,0.342,0.365,0.4,0.5,0.765,0.2,0.5,0.7,0.3,0.3,0.1,0.3,0.6,2.2,"SF",22,"POR",35,1,"44568","0.7","44683",".292","0.4","44682",".255","0.4","44562",".342",".365","0.4","0.5",".765","0.2","0.5","0.7","0.3","0.3","0.1","0.3","0.6","44594"
"159","Jakob Poeltl","267","TOR",2825640,360,"Jakob Poeltl\poeltja01","C",21,"TOR",54,4,11.6,1.2,2.1,0.583,0,0,NA,1.2,2.1,0.583,0.583,0.6,1.1,0.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,"C",21,"TOR",54,4,"44723","44593","44563",".583","0.0","0.0",NA,"44593","44563",".583",".583","0.6","44562",".544","44652","44713","44564","0.2","0.3","0.4","0.5","44563","44564"
"160","Jamal Crawford","217","MIN",4328000,93,"Jamal Crawford\crawfja01","SG",36,"LAC",82,1,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3,6.7,0.443,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,"SG",36,"LAC",82,1,"44646","44655","44722",".413","44652","44807",".360","3.0","44748",".443",".479","44563","44683",".857","0.2","44652","44713","44714","0.7","0.2","44713","44652","44632"
"161","Jamal Crawford","112","ATL",10942762,93,"Jamal Crawford\crawfja01","SG",36,"LAC",82,1,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3,6.7,0.443,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,"SG",36,"LAC",82,1,"44646","44655","44722",".413","44652","44807",".360","3.0","44748",".443",".479","44563","44683",".857","0.2","44652","44713","44714","0.7","0.2","44713","44652","44632"
"162","Jamal Murray","242","DEN",3355320,318,"Jamal Murray\murraja01","SG",19,"DEN",82,10,21.5,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,"SG",19,"DEN",82,10,"44702","44715","44812",".404","44652","44596",".334","44594","44746",".466",".483","44621","44682",".883","0.5","44563","44714","44563","0.6","0.3","44652","44682","44813"
"163","Jameer Nelson","208","DEN",4736050,324,"Jameer Nelson\nelsoja01","PG",34,"DEN",75,39,27.3,3.6,8.1,0.444,1.4,3.6,0.388,2.2,4.4,0.489,0.531,0.6,0.8,0.714,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,"PG",34,"DEN",75,39,"44647","44715","44569",".444","44652","44715",".388","44594","44655",".489",".531","0.6","0.8",".714","0.4","44594","44714","44566","0.7","0.1","44743","44714","44601"
"164","Jameer Nelson","306","DET",2262871,324,"Jameer Nelson\nelsoja01","PG",34,"DEN",75,39,27.3,3.6,8.1,0.444,1.4,3.6,0.388,2.2,4.4,0.489,0.531,0.6,0.8,0.714,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,"PG",34,"DEN",75,39,"44647","44715","44569",".444","44652","44715",".388","44594","44655",".489",".531","0.6","0.8",".714","0.4","44594","44714","44566","0.7","0.1","44743","44714","44601"
