"","Player","Salary","Guaranteed","Pos","Age","G","GS","MP","PTS","AST","FG","FGA","ORB","DRB","TRB","STL","BLK","TOV"
"104","Duncan Robinson",15560000,79910000,"SF",26,72,72,31.4,13.1,1.8,4.4,10,0.1,3.4,3.5,0.6,0.3,1.1
"105","Dwight Howard",2641691,2641691,"C",35,69,6,17.3,7,0.9,2.6,4.4,2.8,5.7,8.4,0.4,0.9,1.6
"106","Dwight Powell",1.1e+07,22814815,"C",29,58,19,16.7,5.9,1.1,2.1,3.3,1.4,2.7,4,0.6,0.5,0.7
"107","E'Twaun Moore",2641691,2641691,"SG",31,27,1,14.4,4.9,1.5,2,4.5,0.5,1.1,1.7,0.6,0.2,0.9
"108","Ed Davis",2641691,NA,"C",31,23,7,13,2.1,0.9,0.8,1.9,2,3,5,0.6,0.6,0.3
"109","Elfrid Payton",2239544,2239544,"PG",26,63,63,23.6,10.1,3.2,4.3,9.9,1,2.4,3.4,0.7,0.1,1.6
"110","Elijah Hughes",1517981,1517981,"SF",22,18,0,3.6,1.7,0.3,0.6,1.7,0.1,0.4,0.5,0.1,0.1,0.3
"111","Enes Freedom",2641691,2641691,"C",28,72,35,24.4,11.2,1.2,4.7,7.8,3.9,7.1,11,0.5,0.7,1.1
"112","Eric Bledsoe",18125000,22025000,"SG",31,71,70,29.7,12.2,3.8,4.3,10.3,0.4,3,3.4,0.8,0.3,1.6
"113","Eric Gordon",18218818,37787178,"SG",32,27,13,29.2,17.8,2.6,5.9,13.6,0.3,1.9,2.1,0.5,0.5,1.9
"114","Eric Paschall",1782621,1782621,"PF",24,40,2,17.4,9.5,1.3,3.7,7.5,0.7,2.5,3.2,0.3,0.2,1.1
"115","Evan Fournier",18139535,57139535,"SF-SG",28,42,36,30,17.1,3.4,5.9,12.9,0.2,2.8,3,1.1,0.5,1.7
"116","Facundo Campazzo",3804150,3804150,"PG",29,65,19,21.9,6.1,3.6,1.8,4.8,0.3,1.7,2.1,1.2,0.2,1.1
"117","Frank Jackson",3e+06,3e+06,"PG",22,40,6,18.5,9.8,0.9,3.4,7.3,0.4,1.8,2.2,0.4,0,0.9
"118","Frank Kaminsky",2089448,2089448,"C",27,47,13,15.2,6.6,1.7,2.6,5.5,0.8,3.2,4,0.3,0.4,0.5
"119","Frank Ntilikina",1789256,1789256,"PG",22,33,4,9.8,2.7,0.6,0.9,2.4,0.2,0.8,0.9,0.5,0.1,0.3
"120","Fred VanVleet",19675926,40925926,"SG",26,52,52,36.5,19.6,6.3,6.5,16.7,0.6,3.6,4.2,1.7,0.7,1.8
"121","Furkan Korkmaz",4629630,1.5e+07,"SG",23,55,11,19.3,9.1,1.5,3.1,7.7,0.3,1.7,2.1,0.9,0.2,0.8
"122","Gabriel Deck",1690507,1690507,"PF",25,10,0,21.2,8.4,2.4,3.2,6.7,1.6,2.4,4,0.8,0,0.6
"123","Garrett Temple",4910000,10065500,"SG",34,56,25,27.3,7.6,2.2,2.8,6.8,0.5,2.3,2.9,0.8,0.5,1
"124","Garrison Mathews",1093598,1093598,"SG",24,64,24,16.2,5.5,0.4,1.5,3.7,0.3,1.1,1.4,0.5,0.1,0.2
"125","Gary Clark",377645,377645,"PF-SF",26,39,11,16.8,3.1,0.8,1,3.4,0.8,2.1,2.9,0.3,0.2,0.4
"126","Gary Harris",20482143,20482143,"SG",26,39,38,27.7,9.9,2,3.5,8.8,0.5,1.5,2,0.7,0.3,0.9
"127","Gary Payton II",1939350,350000,"PG",28,10,0,4,2.5,0.1,1,1.3,0.2,0.9,1.1,0.6,0.1,0.1
"128","Gary Trent Jr.",1.6e+07,33280000,"SG",22,58,38,31.1,15.3,1.4,5.5,13.5,0.5,2.2,2.6,1,0.2,0.7
"129","George Hill",4e+06,8e+06,"PG",34,30,17,22.4,8.7,2.4,3.2,6.6,0.5,1.5,2,0.8,0.2,1
"130","George Hill",4e+06,1275491,"PG",34,30,17,22.4,8.7,2.4,3.2,6.6,0.5,1.5,2,0.8,0.2,1
"131","Georges Niang",3300000,6765000,"PF",27,72,10,16,6.9,0.8,2.5,5.6,0.4,2.1,2.4,0.3,0.1,0.7
"132","Giannis Antetokounmpo",39344970,176265466,"PF",26,61,61,33,28.1,5.9,10.3,18,1.6,9.4,11,1.2,1.2,3.4
"133","Goga Bitadze",3098400,7863739,"C",21,45,3,12.5,5.1,0.8,1.8,4.3,1.3,2,3.3,0.2,1.3,0.4
"134","Gordon Hayward",29900000,91500000,"SF",30,44,44,34,19.6,4.1,7.1,15,0.8,5,5.9,1.2,0.3,2.1
"135","Gorgui Dieng",4e+06,4e+06,"C",31,38,1,14.5,6.8,1.3,2.2,4.3,1.1,2.6,3.7,0.7,0.4,0.8
"136","Grayson Allen",4054695,24054695,"SG",25,50,38,25.2,10.6,2.2,3.5,8.3,0.4,2.8,3.2,0.9,0.2,1
"137","Hamidou Diallo",5200000,5200000,"SG-SF",22,52,9,23.6,11.6,1.9,4.3,9,1.1,4.1,5.2,0.8,0.5,1.5
"138","Harrison Barnes",20284091,38636364,"PF",28,58,58,36.2,16.1,3.5,5.5,11.1,1.1,5.5,6.6,0.7,0.2,1.6
"139","Immanuel Quickley",2210640,4526880,"PG",21,64,3,19.4,11.4,2,3.6,9.1,0.4,1.8,2.1,0.5,0.2,0.9
"140","Isaac Bonga",1729217,NA,"SF",21,40,8,10.8,2,0.6,0.8,2,0.5,1.2,1.7,0.3,0.2,0.6
"141","Isaac Okoro",6720720,13761600,"SG",20,67,67,32.4,9.6,1.9,3.5,8.3,1,2.1,3.1,0.9,0.4,1.3
"142","Isaiah Hartenstein",3430810,NA,"C",22,46,2,12.2,5.1,1.2,2,3.7,1.4,2.5,3.9,0.4,0.8,1
"143","Isaiah Hartenstein",3430810,NA,"C",22,46,2,12.2,5.1,1.2,2,3.7,1.4,2.5,3.9,0.4,0.8,1
